Name,Round,Sign
Shaun,0,PAPER
Shaun,1,SPOCK
Shaun,2,PAPER
Shaun,3,PAPER
Roger,0,ROCK
Roger,1,ROCK
Roger,2,PAPER
Roger,3,PAPER
Patrick,0,LIZARD
Patrick,1,PAPER
Patrick,2,SCISSORS
Patrick,3,ROCK
Jason,0,PAPER
Jason,1,ROCK
Jason,2,LIZARD
Jason,3,SCISSORS
Robert,0,PAPER
Robert,1,PAPER
Robert,2,PAPER
Robert,3,ROCK
Lawrence,0,SCISSORS
Lawrence,1,SPOCK
Lawrence,2,ROCK
Lawrence,3,SCISSORS
David,0,SPOCK
David,1,SCISSORS
David,2,SPOCK
David,3,LIZARD
Mary,0,SPOCK
Mary,1,PAPER
Mary,2,ROCK
Mary,3,ROCK
Wesley,0,PAPER
Wesley,1,PAPER
Wesley,2,SCISSORS
Wesley,3,SPOCK
Debbie,0,ROCK
Debbie,1,PAPER
Debbie,2,SCISSORS
Debbie,3,ROCK
Albert,0,SPOCK
Albert,1,LIZARD
Albert,2,LIZARD
Albert,3,SPOCK
Howard,0,ROCK
Howard,1,SPOCK
Howard,2,LIZARD
Howard,3,SPOCK
Michael,0,PAPER
Michael,1,LIZARD
Michael,2,PAPER
Michael,3,SPOCK
Ryan,0,SCISSORS
Ryan,1,ROCK
Ryan,2,LIZARD
Ryan,3,ROCK
James,0,SPOCK
James,1,SCISSORS
James,2,LIZARD
James,3,SCISSORS
Virginia,0,SPOCK
Virginia,1,ROCK
Virginia,2,SCISSORS
Virginia,3,ROCK
